Z/MB/CL 10.80CT
REJNS/BOART 10.80CT
SAW 5 TO 10
MKB 5 TO 10
CLIV 5 TO 10
REJNS 5 TO 10
SAWABLES 3 TO 4
MAKEABLES 3 TO 4
BLK CL+MB 3 TO 4
REJECTIONS 3 TO 4
SAWABLES 2 CARATS
MAKEABLES 2 CARATS
BLK/CLIV/REJ 2 CARATS
SAWABLES 2 CARATS
MAKEABLES 6GRS
BLK/CLIV/REJ 6GRS
SAWABLES 6GRS
MAKEABLES 6GRS
BLK/CLIV/REJ 6GRS
SAWABLES 6GRS
MAKEABLES 6GRS
CL/MB+REJN 6GRS
SOURCE 2GRS + 11
SOURCE -11+9
SOURCE -9+7
SOURCE -7+5
SOURCE -5
BOART 
