Single Stone
5-10 Gem 
5-10  Makeable 
5-10 Cleavages 
5-10 Rejection 
5-10 Brown 
5-10 LC 
3 Carats Gem 
3 Carats Makeable 
3 Carats Cleavages
3 Carats rejection 
3 Carats Brown 
3 Carats LC 
2 Carats Gem 
2 Carats Makeable 
2 Carats Cleavages
2 Carats rejection 
2 Carats Brown 
2 Carats LC 
3-6 grn Gem 
3-6 gen Makeable
3-6 grn Cleavages 
3-6 grn rejection 
3-6 grn Brown 
3-6 grn LC 
Flat 
Fancy Shape 
11+ Gem
11+ Makeable 
11+ Cleavage 
11+ Brown 
11+ LC
plus 11 -9 Gem 
plus 11 -9 Makeable 
11- ROM 
9 -7 Gem 
plus 11-9 Cleavage 
plus 11-9 Brown 
plus 11-9 LC
11-9 Gem 
11-9 Makeable 
11-9 Cleavage 
11-9 Brown 
11-9 LC
9-7 Makeable 
9-7 Cleavage
9 -7 Brown 
9- 7 LC
7-5 Gem 
7-5 Makeable 
7-5 Cleavages 
7-5 Brown 
7-5 LC 
5-3 ROM 
5-3 Gem 
5-3 Makeable 
5-3 Brown 
5-3 Cleavages 
3-1 R.O.M. 
