Basket +14.8 ct-buffer
Collection 5-10 ct
Crystals 5-14.8 ct.
Fine 5-14.8 ct
Col'd Fine 5-14 ct.
Col'd Crystals 2.5-10ct
Coloured 2.5-14.8 ct
Commercial 5-14.8 ct
Col'd Commcl 2.5-14.8 ct
Spotted Z 5-10 ct
Select MB 5-14.8 ct
Misc 2.5-10 Ex 3 Col
Misc 2.5-10 ct. 4-9 Col
Frosted 2.5-10 ct
Fancy 2.5-14.8 ct.
Fancy MB 2.5-10 ct.
Flats 2-10 ct
Commons 2.5-10ct
Preparers Low 2-10 ct
Common Cliv Rej 2-10 ct
Prep Cubes -10 ct
"Prep Cubes -10 ct 1,2,3"
"Prep Cubes -10 ct 4 ,5"
Clivage H +10.8 ct
Brown Gem 2.5-14 ct
Common Rej -2 ct
Col'd Cliv/MB +3/10 ct
Brn Rej 10ct / +5
Collection 2.5-4 ct.
Select MB 2.5-4 ct.
Col'd Fine 2.5-4 ct.
Commercial 2.5-4
Crystals 2.5-4
Spotted Z 2.5-4
Fine 2.5-4ct
Collection Z 4-8grs
Collection Z 8 grs
Collection Z 5-6 grs
Collection Z 4 grs
Crystals 4-8 grs
Crystals 8 grs
Crystals 5-6 grs
Crystals 4 grs
Fine Z 4-8grs
Fine Z 8 grs
Fine Z 5-6 grs
Fine Z 4 grs
Spotted Z 4-8 grs
Spotted Z 8grs
Spotted Z 5-6grs
Spotted Z 4 grs
Cape 4-8 gr.s
Cape Z 8 grs
Cape Z 5-6grs
Cape Z 4 grs
Col'd Z 4-8 grs
Col'd Z 8 grs
Col'd Z 5-6 grs
Col'd Z 4 grs
Lt Brown Z 4-8 grs
Lt Brown Z 8 grs
Lt Brown Z 5-6 grs
Lt Brown Z 4 grs
Round Mb 4-8 grs
Round Mb 8 grs
Round Mb 5-6 grs
Round Mb 4 grs
Chips 4-8 grs
Chips 8 grs
Chips 5-6 grs
Chips 4 grs
Cubes 4-8 grs
Cubes 8 grs
Cubes 5-6 grs
Cubes 4 grs
Fancies 4-8 grs
Fancies 8 grs
Fancies 5-6 grs
Fancies 4 grs
Frosted Z 4-8 grs
Frosted Z 8 grs
Frosted Z 5-6 grs
Frosted Z 4 grs
Mb 4-8 grs ( Maccles)
Mb 8 grs ( maccles )
Mb 5-6 grs ( maccles )
Mb 4 grs ( maccles )
2/3 Black Mb 4-8 grs
